LEA,SCHOOL_NAME,1617_ACT_COMP,1718_ACT_COMP,1819_ACT_COMP,1920_ACT_COMP,2021_ACT_COMP,2122_ACT_COMP,2223_ACT_COMP,1617_ESSA,1718_ESSA,1819_ESSA,2021_ESSA,2122_ESSA,2223_ESSA,1617_SQSS,1718_SQSS,1819_SQSS,2021_SQSS,2122_SQSS,2223_SQSS
6601023,Ramsey Junior High School,N/A,N/A,N/A,N/A,N/A,N/A,N/A,72.47,73.45,72.16,67.35,68.59,68.59,55.81,57.26,56.01,51.43,46.47,47.32
6601024,Northside High School,18.01,17.99,17.86,18.38,18.08,18.42,18.08,62.74,61.69,64.94,58.06,57.99,57.54,47.18,45.85,50.61,46.91,41.21,42.45
6601025,Southside High School,22.3,22.43,21.83,22.08,21.48,20.71,21.38,73.77,73,70.91,69.94,67.9,70.51,59.88,59.43,59.02,58.5,52.92,59.26
6601029,John P. Woods Elem. School,N/A,N/A,N/A,N/A,N/A,N/A,N/A,88.1,84.97,77.7,78.1,79.47,82.04,73.17,67.78,63.51,66.15,63.64,62.8
6601030,Harry C. Morrison Elem. School,N/A,N/A,N/A,N/A,N/A,N/A,N/A,66.04,63.56,62.11,61.71,61.59,64.43,47.3,44.26,43.66,44.39,41.08,40.7
6601031,Elmer H. Cook Elem. School,N/A,N/A,N/A,N/A,N/A,N/A,N/A,80.36,78.71,77.25,78.28,74.2,72.06,65.05,65.63,62.2,61.09,55.1,51.42
6601032,Tilles Elementary School,N/A,N/A,N/A,N/A,N/A,N/A,N/A,70.76,72.12,69.55,66.01,60.92,58.95,50.8,50.73,49.54,46.35,41.26,40.05
6601033,Euper Lane Elementary School,N/A,N/A,N/A,N/A,N/A,N/A,N/A,84.22,79.03,75.2,76.2,75.87,73.34,66.56,64.2,59.17,62.67,56.38,55.48
6602042,Greenwood Junior High School,N/A,N/A,N/A,N/A,N/A,N/A,N/A,84.77,79.74,80.72,77.45,77.72,78.08,68,65.51,65.66,61.29,60.76,63.08
6602043,Greenwood High School,22.1,22.72,22.49,22.68,22.62,21.92,21.39,76,76.64,77.36,71.4,73.11,76.63,64.58,65.23,64.95,63.33,65.16,67.26
6602044,Westwood Elementary School,N/A,N/A,N/A,N/A,N/A,N/A,N/A,77.54,77.36,76.81,82.53,76.33,78.8,63.85,63.88,64.69,69.19,62.78,60.12
6602045,East Hills Middle School,N/A,N/A,N/A,N/A,N/A,N/A,N/A,79.84,77.49,78.22,75.92,71.83,71.27,59.43,60.29,62.25,61.14,53.58,53.79
6602046,East Pointe Elementary School,N/A,N/A,N/A,N/A,N/A,N/A,N/A,82.97,80.46,78.91,82.6,74.17,74.42,66.12,64.31,65.4,72.1,57.56,55.97
6603047,Hackett Elementary School,N/A,N/A,N/A,N/A,N/A,N/A,N/A,71.4,70.16,72.32,57.5,64.42,63.68,58.82,60.88,61.64,58.02,48.62,45.3
6603048,Hackett High School,19.44,18.18,18.2,17.35,18.92,20.1,18.03,71.78,69.17,65.69,66.41,67.85,66.41,56.77,53.71,52.28,55.5,47.78,50.45
6604051,Hartford Elementary School,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
6604052,Hartford High School,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
6605056,Lavaca Elementary School,N/A,N/A,N/A,N/A,N/A,N/A,N/A,71.01,75.22,72.54,73.84,67.35,70.34,54.02,57.25,55.24,73.62,66.04,47.98
6605057,Lavaca High School,20.61,19.98,19.4,18.96,18.72,18.47,19.53,69.56,69.26,70.78,65.32,63.59,61.99,54.38,58.63,63.24,56.48,45.12,53.16
6605058,Lavaca Middle School,N/A,N/A,N/A,N/A,N/A,N/A,N/A,70.65,71.42,71.69,63.8,67.31,70.24,50.05,53.6,56.71,53.38,59.08,59.58
6606060,Mansfield Elementary School,N/A,N/A,N/A,N/A,N/A,N/A,N/A,74.85,67.84,72.1,65.14,64.06,64.75,56.27,53.37,56.53,46.06,44.1,51.35
6606061,Mansfield Middle School,N/A,N/A,N/A,N/A,N/A,N/A,N/A,70.75,72.12,69.48,66.84,70.91,68.22,50.16,47.19,50.26,48.36,49.25,51.7
